"","AMMaxT","AMMinT","MAT","AP","AtHRT","AtInfBOD","AtInfCOD","AtInfNH4.N","AtInfTN","AtInfTP","DC","Denitri","DO","EffBOD","EffCOD","EffNH4.N","EffTN","EffTP","F.M","HRT","IndConInf","IndPer","InfBOD","InfCOD","InfNH4.N","InfR","InfTN","InfTP","Lat","Lon","MIT","MLSS","MMT","NH4.N","Nitri","NO3.N","pH","Pop","ReInfBOD","ReInfCOD","SMP","SMT","SRT","SVI","Vol"
"ATLA1A",63.4686346863469,56.8870967741936,63.3333333333333,22.3476,21.1623,36.1878,69.091,27.4471,38.125,21.9155,1.0391,100,4.1411,5.793,14.4945,2.6971,28.6142,15.2788,6.2105,26.2766,1,1,7.7275,12.6732,32.1371,1.0349,27.8781,13.6575,84.6575,53.1092,23.2165,32.3844,37.6666666666667,10.2681,100,61.7075,49.6885,13.4533,65.6774,49.8654,11.2273,138.076923076923,22.5439,70.9532,1.2536
"ATLA1C",63.4686346863469,56.8870967741936,63.3333333333333,22.3476,21.1623,36.1878,69.091,27.4471,38.125,21.9155,1.0391,100,1.4333,5.793,14.4945,2.6971,28.6142,15.2788,6.2105,26.2766,1,1,7.7275,12.6732,32.1371,1.0349,27.8781,13.6575,84.6575,53.1092,23.2165,32.3844,37.6666666666667,10.2681,100,61.7075,49.6885,13.4533,65.6774,49.8654,11.2273,138.076923076923,22.5439,70.9532,1.2536
"ATLA2A",63.4686346863469,56.8870967741936,63.3333333333333,19.9807,21.1623,34.7445,69.091,79.3514,38.125,21.9155,1.6755,100,13.0771,6.7846,11.7794,2.6971,17.7448,10.5192,6.2105,26.2766,100,37.3,9.5145,31.5727,30.1982,1.425,65.7488,44.8493,84.6504,53.3248,27.8937,24.0298,96.3333333333333,2.0532,100,51.7453,42.1639,13.4533,65.6774,49.8654,11.0227,138.076923076923,6.7207,66.6216,1.3693
"ATLA3A",63.4686346863469,56.8870967741936,63.3333333333333,19.4345,21.1623,36.1878,69.091,27.4471,38.125,21.9155,1.1743,100,5.0077,5.793,14.4945,2.6971,28.6142,15.2788,6.2105,26.2766,1,1,7.7275,12.6732,32.1371,1.1091,27.8781,13.6575,84.9459,53.246,35.2992,32.3844,37.6666666666667,4.7915,100,1,40.541,13.4533,65.6774,49.8654,10.6136,138.076923076923,22.5439,80.4725,2.8936
"ATLA3B",63.4686346863469,56.8870967741936,63.3333333333333,19.4345,21.1623,36.1878,69.091,27.4471,38.125,21.9155,1.1743,100,5.1701,5.793,14.4945,2.6971,28.6142,15.2788,6.2105,26.2766,1,1,7.7275,12.6732,32.1371,1.1091,27.8781,13.6575,84.9459,53.246,35.2992,32.3844,37.6666666666667,4.7915,100,1,40.541,13.4533,65.6774,49.8654,10.6136,138.076923076923,22.5439,80.4725,2.8936
"ATLA3C",63.4686346863469,56.8870967741936,63.3333333333333,19.4345,21.1623,36.1878,69.091,27.4471,38.125,21.9155,1.1743,100,5.2243,5.793,14.4945,2.6971,28.6142,15.2788,6.2105,26.2766,1,1,7.7275,12.6732,32.1371,1.1091,27.8781,13.6575,84.9459,53.246,35.2992,32.3844,37.6666666666667,4.7915,100,1,40.541,13.4533,65.6774,49.8654,10.6136,138.076923076923,22.5439,80.4725,2.8936
"ATLA4A",63.4686346863469,56.8870967741936,63.3333333333333,19.389,21.1623,33.8329,69.091,27.4471,38.125,21.9155,1.3421,100,1.4874,5.793,11.7794,2.6971,25.3828,8.6154,6.2105,26.2766,1,1,7.7275,31.5727,30.1982,1.2602,65.7488,44.8493,84.8884,53.1809,29.4528,32.3844,37.6666666666667,4.7915,100,1,43.9344,13.4533,65.6774,49.8654,10.6136,138.076923076923,6.7207,80.4725,1.3693
"ATLA4C",63.4686346863469,56.8870967741936,63.3333333333333,19.389,21.1623,34.7445,69.091,27.4471,38.125,21.9155,1.3421,100,1.4874,5.793,11.7794,2.6971,25.3828,8.6154,6.2105,26.2766,1,1,7.7275,31.5727,30.1982,1.2602,65.7488,44.8493,84.8884,53.1809,29.4528,32.3844,37.6666666666667,4.7915,100,1,43.9344,13.4533,65.6774,49.8654,10.6136,138.076923076923,6.7207,80.4725,1.3693
"AUBR1A",74.4280442804428,87.2258064516129,92.6666666666667,44.56,59.7425,33.8329,31.7949,1.1414,100,80.4789,2.155,100,4.1411,9.0985,10.4421,9.2029,10.9881,15.2788,13.5053,56.8191,100,17.5,32.22,47.0814,58.826,2.3728,45.7075,66.0959,15.7791,94.121,71.937,36.5358,85.3333333333333,10.0574,100,55.1698,39.5082,8.5382,54.7259,50.3413,34.5455,100,23.6504,73.5383,6.8528
"AUBR1B",74.4280442804428,87.2258064516129,92.6666666666667,44.56,59.7425,33.8329,31.7949,1.1414,100,80.4789,2.155,100,5.7659,9.0985,10.4421,9.2029,10.9881,15.2788,13.5053,56.8191,100,17.5,32.22,47.0814,58.826,2.3728,45.7075,66.0959,15.7791,94.121,71.5472,36.5358,85.3333333333333,10.0574,100,55.1698,39.5082,8.5382,54.7259,50.3413,34.5455,100,23.6504,73.5383,6.8528
"AUBR1C",74.4280442804428,87.2258064516129,92.6666666666667,44.56,59.7425,33.8329,31.7949,1.1414,100,80.4789,2.155,100,1.9748,9.0985,10.4421,9.2029,10.9881,15.2788,13.5053,56.8191,100,17.5,32.22,47.0814,58.826,2.3728,45.7075,66.0959,15.7791,94.121,71.5472,36.5358,85.3333333333333,11.1106,100,51.1226,39.5082,8.5382,54.7259,50.3413,34.5455,100,23.6504,69.783,6.8528
"AUBR2A",74.4280442804428,87.2258064516129,92.6666666666667,44.56,59.7425,33.8329,31.7949,1,100,80.4789,2.155,100,2.2456,9.0985,10.4421,9.2029,10.9881,15.2788,13.5053,56.8191,100,17.5,32.22,47.0814,58.826,2.3728,45.7075,66.0959,15.7791,94.121,71.937,36.5358,85.3333333333333,3.7383,100,50.1887,39.5082,8.5382,54.7259,50.3413,34.5455,100,23.6504,64.0715,6.8528
"AUBR2B",74.4280442804428,87.2258064516129,92.6666666666667,44.56,59.7425,33.8329,31.7949,1,100,80.4789,2.155,100,8.4737,9.0985,10.4421,9.2029,10.9881,15.2788,13.5053,56.8191,100,17.5,32.22,47.0814,58.826,2.3728,45.7075,66.0959,15.7791,94.121,71.937,36.5358,85.3333333333333,3.7383,100,50.1887,39.5082,8.5382,54.7259,50.3413,34.5455,100,23.6504,64.0715,6.8528
"AUBR2C",74.4280442804428,87.2258064516129,92.6666666666667,44.56,59.7425,33.8329,31.7949,1,100,80.4789,2.155,100,2.5164,9.0985,10.4421,9.2029,10.9881,15.2788,13.5053,56.8191,100,17.5,32.22,47.0814,58.826,2.3728,45.7075,66.0959,15.7791,94.121,71.5472,36.5358,85.3333333333333,3.7383,100,50.1887,39.5082,8.5382,54.7259,50.3413,34.5455,100,23.6504,64.0715,6.8528
"AUCR1A",78.0811808118081,96.8064516129032,111,100,22.8397,9.1436,17.6521,29.2857,48.2656,17.7324,3.1793,100,9.0153,4.1402,13.684,1.2829,5.9941,1.9519,52.0632,24.1702,100,1,29.3818,26.959,38.2961,1.4937,32.9722,29.4795,25.3522,91.9238,87.1378,31.7617,96.3333333333333,15.9553,100,44.5849,38.0328,1.489,64.2489,52.0865,100,77.1538461538462,18.1178,57.4342,1.5119
"AUCR2A",78.0811808118081,96.8064516129032,111,100,22.8397,9.1436,17.6521,29.2857,48.2656,17.7324,3.1793,100,8.1488,4.1402,13.684,1.2829,5.9941,1.9519,52.0632,24.1702,100,1,29.3818,26.959,38.2961,1.4937,32.9722,29.4795,25.3522,91.9238,87.1378,31.7617,96.3333333333333,58.2936,100,35.5566,38.0328,1.489,64.2489,52.0865,100,77.1538461538462,18.1178,59.3206,1.5119
"AUEP1AA",100,80.8387096774193,81.6666666666667,15.7931,20.4914,33.8329,62.932,60.8243,48.2656,4.4859,4.269,100,6.3074,10.7513,22.194,1.8486,41.2463,10.5192,11.4211,11.5319,100,34,19.6059,24.5132,51.9827,4.9552,43.6967,34.4521,9.0866,89.7813,32.9606,32.9241,81.6666666666667,10.0574,100,52.9906,40.9836,5.2869,56.6305,52.8798,3.8636,39.0769230769231,9.2657,3.4802,10.3659
"AUEP1BA",100,80.8387096774193,81.6666666666667,15.7931,20.4914,33.8329,62.932,60.8243,48.2656,4.4859,4.269,100,6.3074,10.7513,22.194,1.8486,41.2463,10.5192,11.4211,11.5319,100,34,19.6059,24.5132,51.9827,4.9552,43.6967,34.4521,9.0866,89.7813,32.9606,27.7453,81.6666666666667,10.0574,100,52.9906,40.9836,5.2869,56.6305,52.8798,3.8636,39.0769230769231,9.2657,3.4802,10.3659
"AUEP2AA",100,80.8387096774193,81.6666666666667,15.7931,24.5171,33.8329,47.7627,70.3,76.625,4.4859,1.6102,1,10.3693,5.793,81.359,2.4143,23.6202,10.5192,6.2105,14.6915,100,12,13.6141,23.735,37.1555,1.6586,37.6642,13.6575,9.0866,89.7813,81.6811,40.5523,81.6666666666667,3.7383,100,50.1887,49.8361,5.2869,31.9499,18.4519,3.8636,39.0769230769231,17.0113,64.0715,1.2536
"AUEP2BA",100,80.8387096774193,81.6666666666667,15.7931,24.5171,33.8329,47.7627,70.3,76.625,4.4859,1.6102,1,10.3693,5.793,81.359,2.4143,23.6202,10.5192,6.2105,14.6915,100,12,13.6141,23.735,37.1555,1.6586,37.6642,13.6575,9.0866,89.7813,81.6811,38.2586,81.6666666666667,3.7383,100,50.1887,49.8361,5.2869,31.9499,18.4519,3.8636,39.0769230769231,17.0113,64.0715,1.2536
"AUEP2BB",100,80.8387096774193,81.6666666666667,15.7931,24.5171,33.8329,47.7627,70.3,76.625,4.4859,1.6102,1,10.3693,5.793,81.359,2.4143,23.6202,10.5192,6.2105,14.6915,100,12,13.6141,23.735,37.1555,1.6586,37.6642,13.6575,9.0866,89.7813,81.6811,38.2586,81.6666666666667,3.7383,100,50.1887,49.8361,5.2869,31.9499,18.4519,3.8636,39.0769230769231,17.0113,64.0715,1.2536
"AULP1A",74.4280442804428,87.2258064516129,92.6666666666667,44.56,59.7425,33.8329,31.7949,1.1414,100,80.4789,4.0511,100,3.8704,5.1319,16.1154,1.5657,11.2819,39.0769,13.5053,56.8191,100,15.3,28.8247,35.7417,47.6486,4.2959,7.7028,44.8493,15.8344,94.138,71.5472,36.5358,85.3333333333333,11.1106,100,51.1226,39.5082,8.5382,54.7259,50.3413,34.5455,100,15.9048,69.783,12.5458
"AUMB1A",85.3874538745387,76.0483870967742,74.3333333333333,21.7103,21.1623,34.7445,70.5737,58.8443,74.0469,64.4437,1.8662,100,11.7232,6.7846,14.4945,1.2829,7.4629,10.5192,6.2105,9.9521,100,6.5,51.4566,57.9208,32.1371,1.2189,44.367,70.6164,5.7638,91.6638,81.6811,24.0298,59.6666666666667,4.7915,100,1,42.459,15.5935,42.9014,71.9183,9.7955,138.076923076923,17.0113,80.4725,1.2536
"AUML1A",92.6937269372694,79.241935483871,74.3333333333333,21.7103,21.1623,34.7445,100,49.0857,74.0469,64.4437,1.1045,50.5,11.7232,36.3689,39.8219,1.2829,7.4629,15.2788,15.5895,9.9521,100,10.9,51.4566,57.9208,26.0922,1.2189,44.367,70.6164,6.2148,91.5926,28.6732,31.0871,59.6666666666667,23.3277,100,22.1698,42.459,15.5935,66.3519,71.9183,9.7955,130.461538461538,17.0113,5.4889,5.8936
"AUML1B",92.6937269372694,79.241935483871,74.3333333333333,21.7103,21.1623,34.7445,100,49.0857,74.0469,64.4437,1.1045,50.5,11.7232,36.3689,39.8219,1.2829,7.4629,15.2788,15.5895,9.9521,100,10.9,51.4566,57.9208,26.0922,1.2189,44.367,70.6164,6.2148,91.5926,28.6732,31.0871,59.6666666666667,23.3277,100,22.1698,42.459,15.5935,66.3519,71.9183,9.7955,130.461538461538,17.0113,5.4889,5.8936
"AUML2A",92.6937269372694,79.241935483871,74.3333333333333,21.7103,21.1623,34.7445,100,49.0857,74.0469,64.4437,1.1045,50.5,11.7232,36.3689,39.8219,1.2829,7.4629,15.2788,15.5895,9.9521,100,10.9,51.4566,57.9208,26.0922,1.2189,44.367,70.6164,6.2148,91.5926,28.6732,31.0871,59.6666666666667,23.3277,100,22.1698,42.459,15.5935,66.3519,71.9183,9.7955,130.461538461538,17.0113,5.4889,5.8936
"AUML2B",92.6937269372694,79.241935483871,74.3333333333333,21.7103,21.1623,34.7445,100,49.0857,74.0469,64.4437,1.1045,50.5,11.7232,36.3689,39.8219,1.2829,7.4629,15.2788,15.5895,9.9521,100,10.9,51.4566,57.9208,26.0922,1.2189,44.367,70.6164,6.2148,91.5926,28.6732,31.0871,59.6666666666667,23.3277,100,22.1698,42.459,15.5935,66.3519,71.9183,9.7955,130.461538461538,17.0113,5.4889,5.8936
"AUML2C",92.6937269372694,79.241935483871,74.3333333333333,21.7103,21.1623,34.7445,100,49.0857,74.0469,64.4437,1.1045,50.5,11.7232,36.3689,39.8219,1.2829,7.4629,15.2788,15.5895,9.9521,100,10.9,51.4566,57.9208,26.0922,1.2189,44.367,70.6164,6.2148,91.5926,28.6732,31.0871,59.6666666666667,23.3277,100,22.1698,42.459,15.5935,66.3519,71.9183,9.7955,130.461538461538,17.0113,5.4889,5.8936
"AUML3B",92.6937269372694,79.241935483871,74.3333333333333,21.7103,21.1623,34.7445,100,49.0857,74.0469,64.4437,1.1045,50.5,11.7232,36.3689,39.8219,1.2829,7.4629,15.2788,15.5895,9.9521,100,10.9,51.4566,57.9208,26.0922,1.2189,44.367,70.6164,6.2148,91.5926,28.6732,31.0871,59.6666666666667,23.3277,100,22.1698,42.459,15.5935,66.3519,71.9183,9.7955,130.461538461538,17.0113,5.4889,5.8936
"AUML4C",92.6937269372694,79.241935483871,74.3333333333333,21.7103,21.1623,34.7445,100,49.0857,74.0469,64.4437,1.1045,50.5,11.7232,36.3689,39.8219,1.2829,7.4629,15.2788,15.5895,9.9521,100,10.9,51.4566,57.9208,26.0922,1.2189,44.367,70.6164,6.2148,91.5926,28.6732,31.0871,59.6666666666667,23.3277,100,22.1698,42.459,15.5935,66.3519,71.9183,9.7955,130.461538461538,17.0113,5.4889,5.8936
"AUTA1A",56.1623616236162,74.4516129032258,63.3333333333333,18.3421,6.0657,1,17.6521,1.4243,91.2344,26.7958,1.2451,100,2.5164,14.0568,14.4945,61.5314,92.9496,71.4423,6.2105,2.0532,1,1,46.2007,12.6732,35.4447,1.1678,41.0156,48.4658,1.6893,92.4056,51.2795,32.3844,48.6666666666667,4.7915,100,1,41.1311,2.6643,99.1271,15.5962,9.3864,39.0769230769231,9.2657,80.4725,1.2536
"AUTA1B",56.1623616236162,74.4516129032258,63.3333333333333,18.3421,6.0657,1,17.6521,1.4243,91.2344,26.7958,1.2451,100,2.5164,14.0568,14.4945,61.5314,92.9496,71.4423,6.2105,2.0532,1,1,46.2007,12.6732,35.4447,1.1678,41.0156,48.4658,1.6893,92.4056,51.2795,32.3844,48.6666666666667,4.7915,100,1,41.1311,2.6643,99.1271,15.5962,9.3864,39.0769230769231,9.2657,80.4725,1.2536
"AUTA1C",56.1623616236162,74.4516129032258,63.3333333333333,18.3421,6.0657,1,17.6521,1.4243,91.2344,26.7958,1.2451,100,2.5164,14.0568,14.4945,61.5314,92.9496,71.4423,6.2105,2.0532,1,1,46.2007,12.6732,35.4447,1.1678,41.0156,48.4658,1.6893,92.4056,51.2795,32.3844,48.6666666666667,4.7915,100,1,41.1311,2.6643,99.1271,15.5962,9.3864,39.0769230769231,9.2657,80.4725,1.2536
"AUTA2A",56.1623616236162,74.4516129032258,63.3333333333333,18.3421,6.0657,1,17.6521,1.9193,91.2344,26.7958,1.2451,100,19.3053,14.0568,14.4945,61.5314,92.9496,71.4423,6.2105,2.0532,1,1,46.2007,12.6732,35.4447,1.1678,41.0156,48.4658,1.6893,92.4056,50.5,32.3844,48.6666666666667,4.7915,100,1,42.0164,2.6643,99.1271,15.5962,9.3864,39.0769230769231,9.2657,80.4725,1.2536
"AUTA2B",56.1623616236162,74.4516129032258,63.3333333333333,18.3421,6.0657,1,17.6521,1.9193,91.2344,26.7958,1.2451,100,15.5142,14.0568,14.4945,61.5314,92.9496,71.4423,6.2105,2.0532,1,1,46.2007,12.6732,35.4447,1.1678,41.0156,48.4658,1.6893,92.4056,50.5,32.3844,48.6666666666667,4.7915,100,1,42.0164,2.6643,99.1271,15.5962,9.3864,39.0769230769231,9.2657,80.4725,1.2536
"AUTA2C",56.1623616236162,74.4516129032258,63.3333333333333,18.3421,6.0657,1,17.6521,1.9193,91.2344,26.7958,1.2451,100,19.3053,14.0568,14.4945,61.5314,92.9496,71.4423,6.2105,2.0532,1,1,46.2007,12.6732,35.4447,1.1678,41.0156,48.4658,1.6893,92.4056,50.5,32.3844,48.6666666666667,4.7915,100,1,42.0164,2.6643,99.1271,15.5962,9.3864,39.0769230769231,9.2657,80.4725,1.2536
"AUWA1A",89.0405904059041,82.4354838709677,89,28.1283,21.1623,17.6519,31.7949,50.7829,100,80.4789,3.9421,100,8.0946,18.106,23.2314,1.5657,38.6024,75.25,6.2105,12.0585,100,56,21.0008,22.79,38.5242,1.2511,50.6676,52.5342,11.805,82.9502,32.1811,47.9521,45,57.6617,100,38.6698,45.7049,7.7016,22.8633,15.9135,3.8636,77.1538461538462,15.3515,57.9058,1.2536
"AUWA1B",89.0405904059041,82.4354838709677,89,28.1283,21.1623,17.6519,31.7949,50.7829,100,80.4789,3.9421,100,8.0946,18.106,23.2314,1.5657,38.6024,75.25,6.2105,12.0585,100,56,21.0008,22.79,38.5242,1.2511,50.6676,52.5342,11.805,82.9502,32.1811,47.9521,45,57.6617,100,38.6698,45.7049,7.7016,22.8633,15.9135,3.8636,77.1538461538462,15.3515,57.9058,1.2536
"AUWA1C",89.0405904059041,82.4354838709677,89,28.1283,21.1623,17.6519,31.7949,50.7829,100,80.4789,3.9421,100,8.0946,18.106,23.2314,1.5657,38.6024,75.25,6.2105,12.0585,100,56,21.0008,22.79,38.5242,1.2511,50.6676,52.5342,11.805,82.9502,32.1811,47.9521,45,57.6617,100,38.6698,45.7049,7.7016,22.8633,15.9135,3.8636,77.1538461538462,15.3515,57.9058,1.2536
"AUWA2A",89.0405904059041,82.4354838709677,89,28.1283,21.1623,17.6519,31.7949,50.7829,100,80.4789,3.9421,100,7.4989,18.106,23.2314,1.5657,38.6024,75.25,6.2105,12.0585,100,56,21.0008,22.79,38.5242,1.2511,50.6676,52.5342,11.805,82.9502,32.1811,47.9521,45,57.6617,100,38.6698,45.7049,7.7016,22.8633,15.9135,3.8636,77.1538461538462,15.3515,57.9058,1.2536
"AUWA2C",89.0405904059041,82.4354838709677,89,28.1283,21.1623,17.6519,31.7949,50.7829,100,80.4789,3.9421,100,7.4989,18.106,23.2314,1.5657,38.6024,75.25,6.2105,12.0585,100,56,21.0008,22.79,38.5242,1.2511,50.6676,52.5342,11.805,82.9502,32.1811,47.9521,45,57.6617,100,38.6698,45.7049,7.7016,22.8633,15.9135,3.8636,77.1538461538462,15.3515,57.9058,1.2536
"AUXP1AA",74.4280442804428,84.0322580645161,89,50.9779,21.1623,33.8329,70.5737,58.8443,46.7188,64.4437,1.1176,100,9.6652,5.793,14.4945,1.2829,22.1513,2.9038,6.2105,26.2766,100,6.5,7.7275,12.6732,32.1371,1.0624,27.8781,13.6575,10.1027,93.4501,64.9213,44.3819,78,10.2681,100,61.7075,38.0328,16.8736,29.9659,33.2067,30.6591,138.076923076923,6.2117,70.9532,1.1689
"AUXP1AB",74.4280442804428,84.0322580645161,89,50.9779,21.1623,33.8329,70.5737,58.8443,57.4609,64.4437,1.1176,100,10.4776,5.793,14.4945,1.2829,22.1513,2.9038,6.2105,26.2766,100,6.5,7.7275,12.6732,32.1371,1.0624,27.8781,13.6575,10.1027,93.4501,64.9213,44.3819,78,10.2681,100,61.7075,38.0328,16.8736,29.9659,33.2067,30.6591,138.076923076923,6.2117,70.9532,1.1689
"AUXP1AC",74.4280442804428,84.0322580645161,89,50.9779,21.1623,33.8329,70.5737,58.8443,57.4609,64.4437,1.1176,100,12.8605,5.793,14.4945,1.2829,22.1513,2.9038,6.2105,26.2766,100,6.5,7.7275,12.6732,32.1371,1.0624,27.8781,13.6575,10.1027,93.4501,64.9213,44.3819,78,10.2681,100,61.7075,38.0328,16.8736,29.9659,33.2067,30.6591,138.076923076923,6.2117,70.9532,1.1689
"AUXP2AA",74.4280442804428,84.0322580645161,89,50.9779,21.1623,33.8329,70.5737,58.8443,74.0469,64.4437,1.5884,100,15.5142,37.1953,14.4945,1.2829,16.8635,1.9519,6.2105,26.2766,100,3.2,22.0236,32.9068,37.1555,1.4066,39.675,52.5342,10.0889,93.4722,54.3976,50.0278,78,13.8489,100,19.3679,46.8852,16.8736,46.1154,50.976,30.6591,138.076923076923,22.5439,38.2909,2.6857
"AUXP2AB",74.4280442804428,84.0322580645161,89,50.9779,21.1623,33.8329,70.5737,58.8443,74.0469,64.4437,1.5884,100,13.3479,37.1953,14.4945,1.2829,16.8635,1.9519,6.2105,26.2766,100,3.2,22.0236,32.9068,37.1555,1.4066,39.675,52.5342,10.0889,93.4722,54.3976,50.0278,78,13.8489,100,19.3679,46.8852,16.8736,46.1154,50.976,30.6591,138.076923076923,22.5439,38.2909,2.6857
"AUXP2BA",74.4280442804428,84.0322580645161,89,50.9779,21.1623,33.8329,70.5737,58.8443,74.0469,64.4437,1.5884,100,8.6904,37.1953,14.4945,1.2829,16.8635,1.9519,6.2105,26.2766,100,3.2,22.0236,32.9068,37.1555,1.4066,39.675,52.5342,10.0889,93.4722,54.3976,37.5736,78,13.8489,100,19.3679,46.8852,16.8736,46.1154,50.976,30.6591,138.076923076923,22.5439,38.2909,2.6857
"AUXP2BB",74.4280442804428,84.0322580645161,89,50.9779,21.1623,33.8329,70.5737,58.8443,74.0469,64.4437,1.5884,100,5.3868,37.1953,14.4945,1.2829,16.8635,1.9519,6.2105,26.2766,100,3.2,22.0236,32.9068,37.1555,1.4066,39.675,52.5342,10.0889,93.4722,54.3976,37.5736,78,13.8489,100,19.3679,46.8852,16.8736,46.1154,50.976,30.6591,138.076923076923,22.5439,38.2909,2.6857
"AUXP2BC",74.4280442804428,84.0322580645161,89,50.9779,21.1623,33.8329,70.5737,58.8443,74.0469,64.4437,1.5884,100,11.7232,37.1953,14.4945,1.2829,16.8635,1.9519,6.2105,26.2766,100,3.2,22.0236,32.9068,37.1555,1.4066,39.675,52.5342,10.0889,93.4722,54.3976,37.5736,78,13.8489,100,19.3679,46.8852,16.8736,46.1154,50.976,30.6591,138.076923076923,22.5439,38.2909,2.6857
"AUXP3AA",74.4280442804428,84.0322580645161,89,50.9779,39.6137,33.8329,70.5737,58.8443,62.7891,64.4437,1.7845,100,11.7232,6.6194,14.4945,1.2829,11.8694,1.9519,6.2105,100,100,3.2,9.5145,19.0101,32.5933,1.8783,30.9614,48.0137,10.0279,93.4591,81.6811,44.2989,78,3.7383,100,50.1887,40.2459,16.8736,57.5431,45.4231,30.6591,138.076923076923,33.609,64.0715,11.372
"AUXP3AB",74.4280442804428,84.0322580645161,89,50.9779,39.6137,33.8329,70.5737,58.8443,62.7891,64.4437,1.7845,100,11.7232,6.6194,14.4945,1.2829,11.8694,1.9519,6.2105,100,100,3.2,9.5145,19.0101,32.5933,1.8783,30.9614,48.0137,10.0279,93.4591,81.6811,44.2989,78,3.7383,100,50.1887,40.2459,16.8736,57.5431,45.4231,30.6591,138.076923076923,33.609,64.0715,11.372
"AUXP3BA",74.4280442804428,84.0322580645161,89,50.9779,39.6137,33.8329,70.5737,58.8443,62.7891,64.4437,1.7845,100,11.7232,6.6194,14.4945,1.2829,11.8694,1.9519,6.2105,100,100,3.2,9.5145,19.0101,32.5933,1.8783,30.9614,48.0137,10.0279,93.4591,81.6811,43.3025,78,3.7383,100,50.1887,40.541,16.8736,57.5431,45.4231,30.6591,138.076923076923,33.609,64.0715,11.372
"AUXP4AA",74.4280442804428,84.0322580645161,89,50.9779,21.1623,33.8329,70.5737,58.8443,46.7188,64.4437,1.0293,100,9.0153,4.1402,14.4945,1,11.5757,1,2.0421,26.2766,1,1,15.7165,23.7906,40.3491,1.016,32.6371,28.1233,9.9039,93.3807,28.6732,42.7629,78,4.7915,100,1,45.4098,16.8736,29.9659,33.2067,30.6591,138.076923076923,28.0765,80.4725,1.2607
"AUXP4BA",74.4280442804428,84.0322580645161,89,50.9779,21.1623,34.7445,70.5737,58.8443,62.7891,64.4437,1.0293,100,9.0153,4.1402,14.4945,1,11.5757,1,2.0421,26.2766,1,1,15.7165,23.7906,40.3491,1.016,32.6371,28.1233,9.9039,93.3807,28.6732,42.7629,78,4.7915,100,1,45.4098,16.8736,29.9659,33.2067,30.6591,138.076923076923,28.0765,80.4725,1.2607
"AUXP5AA",74.4280442804428,84.0322580645161,89,50.9779,21.1623,33.8329,70.5737,58.8443,46.7188,64.4437,1.3486,100,8.555,4.1402,14.4945,2.6971,12.457,1.9519,6.2105,26.2766,100,3.2,33.5865,37.9096,49.2454,1.4066,40.2783,41.2329,9.7345,93.3998,54.3976,26.9046,78,11.7426,100,15.9434,46.8852,16.8736,57.5431,47.9615,30.6591,138.076923076923,13.6917,38.0289,2.6857
"BRBH1A",78.0811808118081,103.193548387097,118.333333333333,56.4855,6.9044,17.8039,51.1843,44.1357,57.375,25.4014,7.3551,100,11.1816,65.2922,44.8874,42.58,55.3472,32.4135,19.2368,16.7979,100,30.15,27.2795,29.516,34.9885,9.01,33.1063,28.1233,22.6495,35.1498,66.0906,44.33,96.3333333333333,15.9553,100,44.5849,48.3607,19.4315,61.5904,49.5481,35.9773,138.076923076923,7.0526,57.4342,3.9065
"BRBH1B",78.0811808118081,103.193548387097,118.333333333333,56.4855,6.9044,17.8039,51.1843,44.1357,57.375,25.4014,7.3551,100,10.2068,65.2922,44.8874,42.58,55.3472,32.4135,19.2368,16.7979,100,30.15,27.2795,29.516,34.9885,9.01,33.1063,28.1233,22.6495,35.1498,66.0906,44.33,96.3333333333333,15.9553,100,44.5849,48.3607,19.4315,61.5904,49.5481,35.9773,138.076923076923,7.0526,57.4342,3.9065
"BRBH1C",78.0811808118081,103.193548387097,118.333333333333,56.4855,6.9044,17.8039,51.1843,44.1357,57.375,25.4014,7.3551,100,7.3906,65.2922,44.8874,42.58,55.3472,32.4135,19.2368,16.7979,100,30.15,27.2795,29.516,34.9885,9.01,33.1063,28.1233,22.6495,35.1498,66.0906,44.33,96.3333333333333,57.6617,100,38.6698,48.3607,19.4315,61.5904,49.5481,35.9773,138.076923076923,7.0526,57.9058,3.9065
"BRBH2A",78.0811808118081,103.193548387097,118.333333333333,56.4855,6.9044,17.8039,51.1843,44.1357,57.375,25.4014,7.3551,100,47.4672,65.2922,44.8874,42.58,55.3472,32.4135,19.2368,16.7979,100,30.15,27.2795,29.516,34.9885,9.01,33.1063,28.1233,22.6495,35.1498,66.0906,44.33,96.3333333333333,15.9553,100,44.5849,48.3607,19.4315,61.5904,49.5481,35.9773,138.076923076923,7.0526,57.4342,3.9065
"BRBH2B",78.0811808118081,103.193548387097,118.333333333333,56.4855,6.9044,17.8039,51.1843,44.1357,57.375,25.4014,7.3551,100,6.849,65.2922,44.8874,42.58,55.3472,32.4135,19.2368,16.7979,100,30.15,27.2795,29.516,34.9885,9.01,33.1063,28.1233,22.6495,35.1498,66.0906,44.33,96.3333333333333,57.6617,100,38.6698,48.3607,19.4315,61.5904,49.5481,35.9773,138.076923076923,7.0526,57.9058,3.9065
